1971;4a9e
1967;7eb8
0178;5eb0
13f0;1e76
11d0;4f08
0ee3;332b
12f8;00cf
0aa0;1bc1
1ac2;86db
13d6;6764
06ca;fa50
18f9;24b5
1de6;322c
1cfe;f85b
0c07;1fc9
0f66;45c8
10ed;a922
1c80;28d4
0240;ad7f
06a7;55dd
163d;0542
1a6d;01e9
0fc4;621e
19c2;af1a
113f;36ff
003f;8f03
181e;07f8
1ae0;37bb
0c36;0f35
1b3d;852f
0cd9;fa3f
1d1b;7a29
0a9e;866c
1639;229b
17eb;f68b
04b3;6ec2
1c56;d209
0192;adff
13c1;e001
1ddc;a44d
1350;40ea
13d7;b2b7
05d5;1218
1221;b8eb
0b29;1252
00d8;ecb2
1242;8609
19e8;e445
1e72;c640
1d6a;2ef6
19f6;69c2
159c;d70b
1e52;c4e5
199b;f55c
0724;42f9
1326;8f60
1ae4;3e82
1927;0ff9
1ad1;6cb2
1439;9dfd
1e71;f9ca
0ae1;63a8
1e11;4e69
18ca;b5e3
1126;5810
1f11;3ba8
0b9f;06a4
16e9;a5af
0c49;4abb
05b0;3192
0f80;eef4
1fdb;16be
1d31;75b8
0189;8d5a
1661;b82f
1266;f8c3
0134;808d
0c3e;6dc6
1e6c;26f0
0dd2;c988
0a7f;912d
1f86;e573
018e;1487
018f;8f06
1583;fd8a
1735;4011
04e7;7c0c
06f1;471e
0f2f;2ece
12e8;08e2
10b4;3d01
18c5;8c75
1add;24dd
13d2;3c94
1ac4;3097
175c;c683
12cd;78fa
08d3;cc19
135a;ab4a
0ec7;3043
1c50;e8cf
14eb;3864
0f4c;7a1c
1dea;3d4c
1682;506a
1476;e8dc
0de3;e6b2
0e9f;03e5
0efb;5b16
16d1;87fb
09d7;d68c
1d99;cdb4
129d;004a
0e15;f152
1e13;8e52
139c;e7f0
0a7b;7355
0d13;3080
1926;dcd4
15ce;a0ee
049f;63f2
0ba3;ba0c
0207;be27
1504;557b
136e;796f
0441;97eb
09e2;0ec6
0b83;0d37
09c3;25a9
0669;1ef1
1bfd;7878
1a11;e5e0
0309;e42c
0073;f314
1760;8420
1de3;ca26
1c8c;de8b
02db;ee92
0c5e;a675
152b;3d83
0e72;ebf6
1593;9c6a
1dcd;0220
100c;5df7
0a70;3b1a
037c;d27d
1cf2;4aa5
0edb;c57b
0abd;73d5
1f93;4217
039c;e856
09ed;16aa
0079;620a
15e4;054e
1ee2;7789
18a0;fd5a
04ac;91f8
197d;0a50
0401;e0ab
1107;66f5
061a;5536
17dc;6458
032f;5047
0658;1cd4
1d96;4258
1bb4;a4e0
06b3;d6be
1a2b;c3f7
0cf7;853c
08d5;c817
0baf;e2ec
1eff;1043
0bc1;a370
0c78;6dd7
0886;cfef
16d4;ecef
0e74;9cc0
0168;ad72
05f1;c807
008a;7ecf
0149;55c0
1f59;db19
13c0;ea4b
1cf4;1114
01d0;0cc3
08a0;b6ab
015d;bb31
1c82;8ba7
0ece;4eda
0e35;a124
174d;9373
0789;201b
027c;1e20
1499;46f9
1a29;91aa
1ef9;4f09
1c76;a66f
1c21;6171
124f;4393
0e47;41f9
0e1a;fa87
015f;755f
1965;9254
057e;4fe7
1e22;1125
0022;da4c
0855;ec6a
02b1;b578
0364;4757
0100;2ae7
0d35;63a3
0a06;be4a
1a03;dd6f
0fb3;b152
0be7;4c33
1f6c;f4bd
156a;e1eb
0ca6;4818
0a31;e19b
0f70;6b21
1004;1bb3
0390;0d87
1319;0021
07a7;f783
0ab3;30ba
1e24;9ef1
0fab;196d
1071;a961
1856;4528
094c;ae90
14b0;92b7
07b8;40c9
1900;da66
100e;5ebe
0a59;74fb
042c;0d28
0c05;6f94
0513;e9b3
0a95;e2a7
054d;52ab
0aa2;1ecc
1714;d9f8
138e;5976
0936;4234
0faf;8aff
0f61;292e
0679;f596
004a;7b6e
158d;51f8
12f2;0597
10bd;1565
15c0;c968
198c;911e
1ae3;a5ad
028a;b0d5
0c5c;f5bf
1dad;a331
128b;470e
02cd;4358
0107;3d75
13f3;8ae0
120e;9785
01f3;5990
1e58;64fa
0521;8460
0d26;69d0
1c9c;6b90
1a9f;448c
134a;bd34
1435;726b
1d36;68af
121d;8d69
1865;28a7
009b;6caf
0751;531f
0ad8;8f60
0304;f1b9
104f;85d7
1a2f;f290
118b;aee9
15d3;e81d
10fb;40b6
07e4;01ef
1a8a;7576
0b44;f689
05ba;7507
058c;92df
1044;75ff
1550;4f35
0b3a;ff02
1ad3;5c89
1a33;c5d5
05c9;f8af
18b1;014e
1491;7e5d
0aed;320a
0b67;a746
0613;415b
0cb4;b872
0daf;05c5
0670;404a
13fe;54fc
0ce0;29e3
097f;a641
08d7;b9cc
0aac;bd09
0557;76d0
1494;37cb
0853;08fd
116b;8262
1660;3e72
0b59;59de
1c43;e91f
0dc3;493c
1a46;ded3
140e;7818
071a;eb7d
051e;a10d
082a;f5be
0353;6c9e
0f17;60b0
01a1;b496
1411;5451
03e7;9691
0fa2;a276
1c42;a99c
03b5;3696
0aae;aa63
018d;b732
05a8;41ac
127b;5f4a
0f5c;783c
16e4;d70f
1933;f0d4
10e6;c9fa
06d6;aaee
0d27;8ced
03c1;2446
19f8;2157
1c10;27d3
1d3d;a566
0d91;dbf8
059b;fb37
1827;8dbe
0c4a;dde8
139e;9774
166b;9981
0b05;73d2
0857;6230
1afd;e531
058f;0ab4
18a4;a4a3
0476;a1cf
17d3;dd43
1c40;4d6d
15ae;ee0a
1bba;b139
12f9;4126
0086;2fee
1667;695a
09de;0a9d
042f;2778
1b01;6a6c
0121;6268
0f63;354f
0398;797e
1206;e7f7
19d2;c3aa
1872;4556
039a;9aef
0a2d;9d91
06a4;995e
0b8f;a041
10a7;a276
01f1;5f22
0bad;3e6e
0ae3;352e
1701;c501
1f25;6a98
1ee3;b6c3
0745;f42e
1de7;1199
0377;c431
1c1c;a702
15de;68ec
069d;93d9
0a00;af5c
0125;cfff
1e44;6b82
1f7a;322e
1fba;adda
04be;d293
0659;edc1
0fbd;9730
0c91;9c05
0111;35e3
0ecf;56db
170d;9c80
0e57;cd96
12e3;390b
19ff;7f11
13cb;7e4c
1517;93bc
11a2;18d0
090f;29c6
1972;188e
0ef6;0561
0363;08e4
1653;dc95
0f7f;3ad1
073d;519b
1862;55be
189c;2c95
1c89;9142
19a3;07dd
03bf;cecb
06d1;4597
0244;0525
0924;a08d
0ecd;8ab4
161d;3f32
0c4b;b4df
1168;c405
0169;c39e
1cf8;6747
12e9;473c
0576;0d71
1f81;8126
0980;f9a1
121c;96c7
05dd;69d6
1cbf;9fa8
1ecb;a7e0
023a;f3a9
0f30;5860
0461;41e8
1258;6d8d
14b3;3a33
065e;432f
00de;8870
05f4;065a
1a27;4932
0ee4;6e33
0afd;5796
0f98;385d
0331;3302
154b;d49a
0c0d;8dcf
18b7;da2f
1b9b;335c
154f;018a
173d;47b2
0608;a23a
08f5;4a79
0f99;42d7
1708;7a00
15b8;dc05
0753;989d
070d;bd3e
18f3;8707
0dd5;8f05
1375;2f2b
0735;e852
1709;66dd
1048;c45c
0a6b;76c1
1138;f132
1331;b998
1a18;aae6
103a;9e28
1a45;912a
0699;592e
0d61;c079
0f76;6974
10cd;bdbb
1ea8;6e9b
008c;13e7
056b;dc6c
0e5c;c577
1931;9bed
1ac8;8895
1caa;54f7
0159;a6df
1451;3689
071b;cebd
1a62;fae9
1b8e;be40
1799;9adc
04b4;430d
18bf;4e8d
05cc;370f
0791;8e06
092b;320f
0cf5;208e
0013;8466
16a2;2b95
0bbb;3d5f
0f7c;53b9
0f90;bea1
168f;aa0a
0c2d;f528
1a93;fec9
0c85;db6e
0d62;0666
1bb2;563d
00ab;9e58
15e8;57ff
1fda;1c86
0daa;e207
02ef;d012
0ffe;2cbb
129a;2629
09e6;7f04
0dc1;30a7
169a;f5a6
0359;dfad
14be;a32c
131d;c647
0911;3b6c
1a14;5499
0d53;12ed
04ba;2420
0819;c2e7
0e06;7b3d
1a4c;139b
0290;e21b
1e1c;b4e3
0bb7;4832
1e27;4cf1
025d;f284
08ff;c87f
0783;48ed
1e80;a049
1cc4;80c9
0cc3;51de
1111;34ae
199d;bfbe
08c2;4a9b
0a8a;7134
129e;5faa
0f8b;d86a
04f7;8baa
0b06;2c58
1622;e78f
066f;67fd
1bd1;5144
1056;9fbf
02a7;cf90
0876;9c31
07fc;77fd
12e6;a27d
053f;1562
14b6;abe1
044e;6da8
0e19;e5cb
07b9;a449
1f2f;2daa
1ada;05ed
1584;f174
0683;b4c3
1b9e;4be3
0ce3;02ba
0809;8798
10c3;c107
1834;c8c5
0d6b;377d
15b3;54cd
1d54;6999
0813;71ee
18af;ff5f
0e12;adc1
09c1;2456
0d03;0a1c
0967;49a0
0c79;5738
1bda;494e
1703;4e21
1c91;8f78
0ce2;2004
120a;1b25
10a9;e95b
07a3;b340
0548;6ae5
0fe8;d952
03d9;0915
1ddb;d563
13c2;e9dd
0d74;8689
00d9;cccf
1a85;af3e
16a7;6689
1420;8e0c
0cdb;a654
135c;f6c5
130c;b4b3
1bab;ef04
0109;b690
1514;bf5d
1dc2;7424
0112;ebda
001a;2b54
0123;175f
01a2;7de3
1b78;7360
07c9;1e85
0e7b;8baa
02c6;f0f8
1645;1a4d
019a;4c7f
1daa;bf86
0cde;a777
0b85;4424
083f;57fc
10c5;4f46
059d;1551
1d1c;8579
131b;a210
1671;c65c
1369;782c
086f;39f2
17d7;a18f
1b00;09ab
0d42;54a9
1721;8751
1b82;90ac
0d2f;ee79
1480;22c1
19f1;4054
1dd6;b94a
1e3e;42c1
04af;b545
0f7d;767a
0ef7;c4fd
1c25;6585
187f;07b3
17c0;33bc
1cf9;31ef
168c;ae5c
060e;291f
12e0;e933
0f8d;159b
1683;4c80
04cd;76b9
18ac;6f29
0894;f0d2
0da3;d6fc
1cb3;3997
1128;8f1c
0f4f;8f02
0e52;6c81
1f0c;100c
0251;f060
1a32;2b65
1d11;af29
0829;1a0a
098a;8555
0284;8997
1c6f;5ab4
09c7;e49b
102f;99e4
0f69;6e7e
11f7;15ad
0a96;7b55
07fb;4596
072b;1ba5
13db;7d6f
022a;ceb4
0282;7e68
03de;11d1
03fd;cd00
121f;df47
035f;308a
0435;62d4
1d06;ec3e
0a4f;a32c
1283;b9de
1b2c;51da
18cb;1dc7
153a;16e9
0b13;ca3d
04f0;8936
1548;bf42
0b5c;ddc4
034c;828a
1611;0dcd
1e96;0806
059e;1bfe
1c2b;2854
08e0;8e86
088a;fd85
0638;1850
0f86;ed4d
07e1;b645
0c09;b8db
0269;f561
1732;6fbb
0c52;a916
1952;fbc7
17f9;016a
1f98;699a
1c13;4aa9
01e0;7b67
1abf;20c6
09e0;2f75
0710;a1b3
02ed;dbb9
13eb;b226
060b;05df
1159;456a
06e8;fe82
0a9d;6eaf
1766;688a
0aaa;7667
04e1;efb0
1fc1;1024
00c6;29b2
19f0;6e11
14f5;7e07
1af4;c217
02be;6472
1d74;a5d0
1c26;993c
00b4;d2c7
1246;d43b
0f9a;703c
16f0;892b
0c4d;9ac7
0ac6;8baa
09e8;2672
0cad;3ae8
07a9;24cf
0d39;b1dc
04da;8c84
1adb;90a8
1202;d18d
1ea0;8b6d
1cac;7138
125b;ed38
018b;989c
1bbb;f3b1
0f45;5276
0096;e42f
0691;c1b1
0c31;d21f
1ae5;d0d6
040d;95a5
0054;c178
056d;2dc1
1ef1;05fb
035a;853e
13e6;33d4
00cd;f3e3
0fe5;7d61
02e8;fce4
12db;eb17
115a;7b31
0cf3;bfa8
03fb;df84
0483;9f02
0d10;9c6f
17f8;8f24
0842;8b8c
089e;0965
1771;b2ed
03ff;b828
0c90;a11f
12a5;5558
025e;d6d6
1aa8;a799
0702;fe9c
09c6;9842
1c0d;157e
10ef;89dc
03cf;ca7e
1a61;2873
1091;ba5c
13ad;8aee
11f6;2ee5
1045;dbd2
1f32;874b
0053;21c4
0091;3269
034a;400b
1d6c;8d70
144e;5bbe
1d58;235e
1937;2e58
1f8c;3694
08eb;9dce
006d;d2c5
0457;2f71
06c1;6cfa
0afa;63eb
0dc8;6015
08ba;021f
1030;9391
0961;6d8e
0d5b;1c98
1b20;df33
144d;3a08
086b;49a7
1b0c;4a51
19ae;060e
1f34;54f5
08b7;c08e
16dd;3cfd
07ad;58e9
17cf;c4d1
0b36;de44
1880;2732
0fef;39ef
1e97;de24
0720;a2e4
1c3d;fe25
0249;817c
14c1;8ac3
0cea;96a7
0db4;0b8d
0bd6;8442
0f25;5597
0d12;e7da
0761;7d0a
142b;f66a
0856;88f1
03d6;3563
135e;d29b
10df;0d75
1f75;7822
1133;1200
160d;b6af
0035;0587
163a;92c0
00b8;19a0
099c;65d9
1af2;ca41
02c9;dbac
1ced;5e1f
1c38;4e2f
00c0;bd89
0055;9730
0ba7;c1aa
1316;06d4
0c64;1176
1acf;d1bf
0716;17f8
06bb;813d
1bfb;3e78
1482;d239
1eab;2278
11c5;a509
1e76;143e
0fce;37ee
0c8a;bfef
04a7;79c9
0d90;e4a5
0aad;bbb4
1525;8bb5
0fa7;1635
1b47;12bb
051d;026b
1ce0;a73e
1380;5b51
0bbc;5210
1c01;51f4
1554;4a52
1a34;f0f8
0d21;17b3
18f8;8a83
11fd;e9de
1291;99b4
05d3;cc01
03cb;da65
0379;df2a
0be8;ca1f
0703;5672
07f9;729d
1497;fbd0
1b31;10ed
1fde;aca6
170e;2bb8
1db9;9f3b
190c;022a
1c47;f1ea
0a07;b45a
1832;f913
0f1e;3921
1c3f;8697
0889;7f7f
0629;4b97
0e07;993b
0da9;a704
1697;86c4
0637;f426
0913;de20
1fc6;8bc7
1605;25dd
00c3;2e6e
0000;181e
0bde;9764
0057;8a33
14fc;6958
15f6;182d
1277;96c4
152a;53e9
121e;5fa8
0db0;dd1d
1ad5;aec2
081a;c2ee
17ec;cbc2
15c3;9c12
07fa;c90f
067d;866d
0bfb;3c1d
1a20;b78a
031c;2b9d
0c38;13ac
1b48;7fde
1f92;0c6a
1516;5740
02dc;5fe9
0c42;4afc
1d47;73ad
0474;49e7
1cb8;29cf
0800;026e
1d61;f808
0051;4c7c
1b56;dce7
066a;063c
1632;7e50
16f3;0b6f
111f;8927
1bf6;3e10
050e;e7bc
16e2;0b8c
1efa;e12e
1c3e;24a2
1b11;0a5c
0ff7;5bdb
1e2c;844d
0c61;0452
166d;5f4d
0c82;0a56
1906;b5ae
0a16;b8e2
0e8c;4049
1aa0;e64a
0447;95c3
043b;e7c6
140d;6ae3
1c95;8fbd
08f4;32dc
0019;818c
1eb9;a79b
16ad;7ef1
12b5;b1dd
0646;5e1f
12c4;6ab7
0907;fc19
10ca;b164
0423;df7a
1e45;1aa8
1a3f;9c46
1c06;8383
1a09;92e9
07f7;f334
082e;7c07
01a4;0949
0722;5195
1f3e;e615
0e45;9f48
1be0;3271
125e;3d99
165d;6936
0ad3;bc97
030d;9368
133a;f741
04bf;3f50
1041;3ee4
1805;2e59
05c2;ed1e
113e;9071
0815;12c9
1dc7;1f34
0998;6267
0ac7;388c
1d17;e6ed
177b;0165
0755;b9fc
04ed;e7ff
01f4;3f11
0741;59d9
1464;45ea
1f47;c289
136b;243a
1cec;a448
0e08;7509
1620;2843
0c26;5851
181c;ecb7
0c00;e172
1ef8;fac8
1a54;ec46
08fa;badc
1a98;4012
0e6f;ef06
1356;96b5
1849;06b4
049e;2f37
0546;9fad
0570;c787
1867;2f65
0a35;6b4e
0704;fb71
155b;8748
1b7e;24f8
0b9c;0405
0119;9d4f
1141;bf52
0fa9;a65b
0fda;1e56
0a08;f374
1959;d238
04eb;ce71
1e92;9bdf
0487;97c7
1c68;0b32
0a82;00ea
07f6;646d
1987;3979
1253;a7f1
1a66;536c
153b;ae6f
1299;3452
1d2d;46f8
007a;65fb
1498;2261
0a7c;c77f
167a;9c85
0a72;de45
13ab;6bed
002a;f3ab
1315;ae2e
0c01;982d
02ac;a858
017a;7a22
08c5;12a0
053e;0a83
073e;d60b
191c;797a
0c47;95c9
0c56;21ae
1879;bd84
08a9;89a4
100d;f529
1839;552a
1ecd;4831
0188;8625
19af;a886
10d7;a412
1508;62fc
09e3;0c48
12a6;4bb5
0d05;226b
1426;a683
1388;f9ea
00a6;96bd
0026;414f
03c2;96f8
159b;e78d
14e7;86aa
0525;f69d
0f7e;b7a7
13c9;5c0a
14db;cccc
0ea5;5e62
1aaa;63cd
17c6;753a
1f9c;f2cf
15d8;4743
0dc4;9b61
16e8;55b7
01c1;d9af
0d5d;4c27
1571;8272
0406;d15e
05d4;7d0c
1e3b;a2d3
09be;1f1f
1aad;e876
141a;c6e9
1ac3;ebcb
1a68;b652
0ad9;61f8
0c8c;2615
11b3;9386
1c75;8211
1c7f;2d59
0609;5273
0473;ee25
15bd;9832
1902;342a
021e;317f
066d;422b
078a;5b2e
0514;ec21
0597;2926
0454;bd18
02e6;51a5
0a01;b32f
0850;0137
13a7;41d2
04a6;5577
01bd;79b0
1c66;cbc8
1d97;75a0
159f;cd67
052c;7083
117b;1e01
114c;4a8d
1607;1a2f
0e63;81d4
194c;18d5
0bae;bd9e
1fd7;5dac
0b2b;69b7
1801;78bc
1e5e;b79b
0200;da9d
14fa;2a38
02cc;7be7
04d4;6927
04a5;f1fb
0870;3921
0ebf;5c0f
1e18;12f6
0478;4794
0f88;f1f2
0567;b769
1542;29a6
0668;a0f1
14cc;7575
197b;99eb
10be;8b4e
1127;d809
0618;6307
0c2e;ee3b
0802;e780
0f3b;dda5
1307;b4a6
04f1;bfa3
1bbf;09aa
1998;7d51
063e;0a01
0132;9964
0871;7295
038f;d409
18ab;7d8a
19cf;3d13
07f1;b2a8
1070;d356
09f4;e0c0
19d3;edef
17b4;6438
1bcb;f71d
0a50;b02d
16e3;c552
1ed9;4d4e
17df;b5bb
06ed;8c61
0df9;c0f7
0068;8bb1
174b;6056
0d36;f29d
0811;fcc6
0fd0;89bc
1ac7;e6c5
1055;cdbb
1992;b934
1b79;1776
12ea;eefc
1875;5358
16b8;cc8d
029a;9478
00cf;4210
0d68;0ecf
174a;523f
167f;1603
18ae;183f
12bf;94fd
1b80;5f38
08fd;bd27
1c6c;da57
0ff9;3fae
1557;1654
1029;78be
0b33;38fe
0083;3e83
0fe0;8b46
1467;dc55
1b8d;8cd1
00e1;bd54
1bca;8e7c
19f4;6523
183d;37b6
1df5;5153
1c8f;b942
04e4;affa
0c18;6136
1100;d698
06d9;c0b7
19aa;b8f9
0f3f;935a
1763;e8d5
1f0a;571a
108d;9ffe
037d;21f6
1af9;92c9
0422;4555
02c3;a349
1389;7f13
13df;9057
0605;4d3b
1ede;cac3
03a4;2bb8
02d1;c05e
0415;9961
11e3;b1f5
103f;a043
0357;3eec
1112;55ba
062f;f8bc
1f97;6840
1264;14b9
1ace;2462
08b2;2b8d
1da7;0dd2
0f9c;a3fa
1578;e888
1f9d;013d
0f0a;63b4
0293;7753
1036;db1a
01bc;48ac
0bee;2b9b
0f9d;af10
1cce;12f6
1fa8;168c
1f58;91ae
17b3;1315
1646;b24a
1d35;055c
1f2d;ec53
081e;dbbf
0f64;ef2e
1e05;f554
16eb;9ab6
0a15;6f98
1507;46b4
0194;3cd4
0cc8;7bc6
1f10;5445
1b7b;b2ce
1083;b8a4
1254;9cc3
1fd8;7f5b
0687;ddb7
0db7;0942
1ebe;2012
1cd5;05d3
13ec;6378
0f15;f0d1
1ae9;9fcc
01fe;cefd
0dd9;454a
0692;06e1
102e;786a
1657;33bd
02de;4194
1c83;f344
0334;4e47
0d54;6208
15ad;37b3
1278;a039
1f4f;fe75
1353;509b
0543;d6ca
1754;8a52
1d45;1ddc
01f0;4b43
0edc;f026
1238;e4f7
184a;a17a
052e;2ca7
0d8e;39ab
1a01;bbd5
0c84;06e6
1223;c775
18d5;6ced
1227;e86d
069b;f2fe
16d6;60b3
0cf8;82d6
0414;854c
0355;a100
1a2e;9071
13c4;bc18
1b7c;ebd4
1239;b3a5
1d82;d39b
0cb6;fb5b
19cc;6924
0cb3;9a6e
0d47;d025
00e4;9664
039e;d396
1a50;914f
05a9;330d
12dd;233f
0a37;cfee
0dfc;cc9e
0325;ba4d
1dda;2407
110a;e2fe
0161;2f51
04ad;9aa0
0c10;c8b8
09b9;beb2
153f;6aa7
08a4;f677
00dd;8198
1df9;96c0
1db7;02fc
1bc4;38ff
1918;ff78
1cfc;3b45
116f;a0d2
0511;2241
0742;8e61
1738;3aa2
03df;42ff
1cff;6bc0
05fa;9d56
03e0;8a9b
1fec;69ca
0d97;12e5
18b9;18ae
097e;a4eb
0591;3dad
0f8c;db85
1b02;44a4
1788;b4df
154c;0cc8
1469;f7e5
13bb;11b6
098c;b10f
0fdb;53b7
1c08;88fb
1e34;f383
1f5d;5387
02ea;2ddc
0693;8440
09f0;daf6
0373;1694
0d29;8d9d
1119;e907
0a32;16c8
1d49;2377
1b55;ae31
06ce;d72b
011c;c287
0420;5046
13a2;2547
1e5f;05f8
1950;6178
1781;dca4
028b;cad0
1dab;dc7e
1fa9;681b
107a;c39a
0ca7;4acc
0281;1899
1a95;6b7e
04e6;d52e
01f7;28d5
1027;fe2c
09b1;ec60
1b65;331c
1a05;5375
078c;cdbc
068a;496c
0e3c;1537
1789;f7e7
0a51;4cb8
0d23;40f1
16b1;5f5f
1b5a;1a7d
1b50;ddd0
0382;b6fe
0c8d;e061
040f;4f2e
1397;532c
0e8e;a259
1130;ccd6
02f3;d8e7
15dd;01d4
166e;ba41
1fad;f74d
0906;051c
0250;3902
0e17;be73
015c;c457
1a49;d9bc
0fde;9db5
10f6;22c7
0569;b09e
1395;0f1c
1a87;0268
0e99;ae69
096e;635c
1f68;8236
1c9b;1f29
1bf1;a824
1cc0;e222
1d52;cdb0
0cc9;e805
1125;10b9
1f78;546a
1a26;548a
1e83;6e58
05cb;a7ae
002d;1145
03b3;2a43
1f01;6a1a
180e;0159
03d1;514a
057f;ae1f
1b18;fb34
11a9;510c
11dd;ac2d
0b4e;1949
14b8;86cd
1b4a;720e
0616;e39f
047f;8a9d
12df;551f
1798;fde7
1691;ee40
095d;a759
185e;dc93
0bb2;d4ae
000b;d71d
041d;960f
0833;f329
1be7;b519
01d4;4c24
10b2;0bd5
14f3;d8e6
106e;2093
1a7c;61d0
0676;3d69
1897;8c20
0fcc;3332
05be;e987
1b49;b864
1817;ba74
1748;22aa
083d;e91d
11fe;53fd
05fb;8ad0
1053;9fc2
1f4a;715c
0be4;30b2
07bf;e72a
0b4f;21a3
1396;552e
1964;cc3a
18fc;440e
016a;117c
1ab5;cbd9
0666;2892
0ea9;a2c4
0db8;388f
055c;1a20
15df;46f4
09ad;dec6
0041;a95b
07d4;a9e0
01c6;d885
1000;ce44
0458;9fd5
107e;5b4e
0da2;f7e9
1bdc;141b
0318;f47f
1e74;99f3
150a;2e8d
1ca4;79e7
136c;d79a
0700;0f55
0725;e248
1f1b;adae
03ac;88ad
1560;7ace
13a1;7152
185c;2fb0
06fa;2c0f
037e;82df
0182;43fc
1da4;8548
0a8e;4e7d
0e18;c54e
013d;ad04
11c2;1661
1afe;a1d2
0fc5;e6a6
1ad4;480a
1fcd;c5a6
0b01;553d
1715;e175
14f0;5794
1b27;8c0e
17a4;db16
093d;62ac
0727;d5d6
0a21;26f5
1495;c82e
001f;114e
19b8;d6a7
12fd;1151
0978;1b4f
1c54;78dd
0b0a;6a87
0dca;6b4e
1549;c294
14a5;462c
037b;ff1b
0176;9762
16df;ea3c
03b1;2712
1934;4dcd
1275;abd6
1ffa;7d6a
0df2;b4ca
1f8b;4877
080d;a91f
124a;b593
1098;015a
0d44;6313
0302;5f59
1ac0;3a47
0316;9ac9
13ea;f96b
1b3c;8589
0ddb;d90b
17a5;9e8e
0dd8;894b
161b;d5aa
15cd;633d
05d0;c1df
12d2;825c
187a;cee1
1f64;ba3e
1017;2240
1ce9;c636
1e8f;f7a2
04a3;3839
004b;486e
0877;67d2
140a;f83f
119f;fb84
00ed;3370
15bc;05f1
010a;18fd
1ff5;54be
010e;7e7b
109b;7c78
0aef;8bab
0fb2;1543
1cb7;8046
138a;5f20
1090;6264
0ec1;8a5e
0312;b393
1cbc;3b70
1df3;034c
156e;f671
1f7b;884f
1737;6bf1
009e;612c
1621;a59f
0527;498a
11da;6a34
1007;0f01
047d;cf3c
044b;ebca
1b14;0525
193a;674d
11a0;d0b9
09f3;0d81
1bf0;7c2b
0009;1044
1532;56e2
09b4;10a3
0286;faf8
126f;e7f1
02d8;b31d
072d;cfa6
1a84;039e
153d;cecb
17da;d4e4
1e8c;2ac0
06ac;67e2
09c5;bd81
109a;246f
1b73;729c
1bed;9f8c
1e68;0623
1104;dc6f
07d8;6549
0228;3215
0590;7fe2
01be;c23b
08b4;4b70
1f51;5c8f
146e;4c29
1533;516d
1ea2;266d
0917;ff2a
0647;42ab
09d9;f94f
11d7;b3f6
18a6;61b2
1c7c;399b
0575;739d
0f5b;9f90
1b8f;bd7a
